,,,,,,,,,,,,,,,,,,,,
,Message,Signal,Event trans.,MSB,LSB,Size [bit],[s]igned or [u]nsigned,Resolution,Offset,Range [MIN],Range [MAX],Startup / Default,Unit,Accuracy,Signal Age [ms],Values Table,Property,Value,Note,List of revisions
,NBC_VPS1,VPSPsngrDoorSts,Yes,37,36,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Unlocked,0,,
,NBC_VPS1,VPSPsngrDoorSts,Yes,37,36,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Locked,1,,
,NBC_VPS1,VPSPsngrDoorSts,Yes,37,36,2,–,–,–,–,–,0,–,–,–,Yes,Open_Unlocked,2,,
,NBC_VPS1,VPSPsngrDoorSts,Yes,37,36,2,–,–,–,–,–,0,–,–,–,Yes,Open_Locked,3,,
,NBC_VPS1,VPSLHRDoorSts,Yes,35,34,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Unlocked,0,,
,NBC_VPS1,VPSLHRDoorSts,Yes,35,34,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Locked,1,,
,NBC_VPS1,VPSLHRDoorSts,Yes,35,34,2,–,–,–,–,–,0,–,–,–,Yes,Open_Unlocked,2,,
,NBC_VPS1,VPSLHRDoorSts,Yes,35,34,2,–,–,–,–,–,0,–,–,–,Yes,Open_Locked,3,,
,NBC_VPS1,VPSRHRDoorSts,Yes,33,32,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Unlocked,0,,
,NBC_VPS1,VPSRHRDoorSts,Yes,33,32,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Locked,1,,
,NBC_VPS1,VPSRHRDoorSts,Yes,33,32,2,–,–,–,–,–,0,–,–,–,Yes,Open_Unlocked,2,,
,NBC_VPS1,VPSRHRDoorSts,Yes,33,32,2,–,–,–,–,–,0,–,–,–,Yes,Open_Locked,3,,
,NBC_VPS1,VPSDriverDoorDLSts,Yes,31,31,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock Off,0,,
,NBC_VPS1,VPSDriverDoorDLSts,Yes,31,31,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock On,1,,
,NBC_VPS1,VPSPsngrDoorDLSts,Yes,30,30,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock Off,0,,
,NBC_VPS1,VPSPsngrDoorDLSts,Yes,30,30,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock On,1,,
,NBC_VPS1,VPSLHRDoorDLSts,Yes,29,29,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock Off,0,,
,NBC_VPS1,VPSLHRDoorDLSts,Yes,29,29,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock On,1,,
,NBC_VPS1,VPSRHRDoorDLSts,Yes,28,28,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock Off,0,,
,NBC_VPS1,VPSRHRDoorDLSts,Yes,28,28,1,–,–,–,–,–,0,–,–,–,Yes,Dead-lock On,1,,
,NBC_VPS1,VPSTrunkSts,Yes,27,26,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Unlocked,0,,
,NBC_VPS1,VPSTrunkSts,Yes,27,26,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Locked,1,,
,NBC_VPS1,VPSTrunkSts,Yes,27,26,2,–,–,–,–,–,0,–,–,–,Yes,Open_Unlocked,2,,
,NBC_VPS1,VPSTrunkSts,Yes,27,26,2,–,–,–,–,–,0,–,–,–,Yes,Open_Locked,3,,
,NBC_VPS1,VPSTrunkLockCntrl,Yes,25,25,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSTrunkLockCntrl,Yes,25,25,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSTrunkReleaseReqCntrl,Yes,24,24,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSTrunkReleaseReqCntrl,Yes,24,24,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSTrunkUnLockCntrl,Yes,23,23,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSTrunkUnLockCntrl,Yes,23,23,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSDoorLockCntrl,Yes,22,22,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSDoorLockCntrl,Yes,22,22,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSDoorUnLockCntrl,Yes,21,21,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSDoorUnLockCntrl,Yes,21,21,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSDriverDoorUnLockCntrl,Yes,20,20,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSDriverDoorUnLockCntrl,Yes,20,20,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSPECIDTrunkReqCntrl,Yes,19,19,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSPECIDTrunkReqCntrl,Yes,19,19,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSLockUnlockTypeSts,Yes,18,18,1,–,–,–,–,–,0,–,–,–,Yes,Not Active,0,,
,NBC_VPS1,VPSLockUnlockTypeSts,Yes,18,18,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSChildSecSts,Yes,17,17,1,–,–,–,–,–,0,–,–,–,Yes,Not Active,0,,
,NBC_VPS1,VPSChildSecSts,Yes,17,17,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSLockValidData,Yes,16,16,1,–,–,–,–,–,1,–,–,–,Yes,Valid,0,,
,NBC_VPS1,VPSLockValidData,Yes,16,16,1,–,–,–,–,–,1,–,–,–,Yes,Not valid,1,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,On 3 sec,1,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Double flash,2,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Warning flash,3,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Deterring flash,4,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Stop,5,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Alarm warning 8 Hz,6,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Alarm warning fix,7,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Driver led on,8,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Driver led off,9,,
,NBC_VPS1,VPSDoorLedModeCntrl,Yes,15,12,4,–,–,–,–,–,0,–,–,–,Yes,Not used,10 ÷ 15,,
,NBC_VPS1,VPSPowerONCntrl,Yes,11,10,2,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSPowerONCntrl,Yes,11,10,2,–,–,–,–,–,0,–,–,–,Yes,PowerON enabled,1,,
,NBC_VPS1,VPSPowerONCntrl,Yes,11,10,2,–,–,–,–,–,0,–,–,–,Yes,PowerON disabled,2,,
,NBC_VPS1,VPSPowerONCntrl,Yes,11,10,2,–,–,–,–,–,0,–,–,–,Yes,Not used,3,,
,NBC_VPS1,VPSDoorDLSetCntrl,Yes,9,9,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSDoorDLSetCntrl,Yes,9,9,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSDoorDLUnsetCntrl,Yes,8,8,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSDoorDLUnsetCntrl,Yes,8,8,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSTrunkHandlePulledSts,Yes,7,7,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSTrunkHandlePulledSts,Yes,7,7,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,VPSRWHandlePulledSts,Yes,6,6,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS1,VPSRWHandlePulledSts,Yes,6,6,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS1,Not used,No,5,0,6,–,–,–,–,–,–,–,–,–,No,–,–,,
,NBC_VPS3,MiniCryptRandomCode,No,63,32,32,–,–,–,–,–,–,–,–,–,No,see [3],–,,
,NBC_VPS3,MiniCryptFCode,No,31,16,16,–,–,–,–,–,–,–,–,–,No,see [3],–,,
,NBC_VPS3,ControlEncodingRequest,No,15,8,8,–,–,–,–,–,–,–,–,–,No,see spec.,–,,
,NBC_VPS3,VPSPECIDGarageReqCntrl,Yes,7,7,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSPECIDGarageReqCntrl,Yes,7,7,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,VPSPECIDIntReqCntrl,Yes,6,6,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSPECIDIntReqCntrl,Yes,6,6,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,VPSCrankEnableCntrl,Yes,5,5,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSCrankEnableCntrl,Yes,5,5,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,VPSCrankDisableCntrl,Yes,4,4,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSCrankDisableCntrl,Yes,4,4,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,VPSClutchPressedCntrl,Yes,3,3,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSClutchPressedCntrl,Yes,3,3,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,VPSSCUnlockCntrl,Yes,2,2,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSSCUnlockCntrl,Yes,2,2,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,VPSSCLockCntrl,Yes,1,1,1,–,–,–,–,–,0,–,–,–,Yes,Not active,0,,
,NBC_VPS3,VPSSCLockCntrl,Yes,1,1,1,–,–,–,–,–,0,–,–,–,Yes,Active,1,,
,NBC_VPS3,Not used,No,0,0,1,–,–,–,–,–,–,–,–,–,No,–,–,,
,EXTERNAL_LIGHTS,Not used,No,63,62,2,–,–,–,–,–,–,–,–,–,No,–,–,,
,EXTERNAL_LIGHTS,BatteryChargerPresent,Yes,61,61,1,–,–,–,–,–,0,–,–,–,Yes,Not Present,0,,
,EXTERNAL_LIGHTS,BatteryChargerPresent,Yes,61,61,1,–,–,–,–,–,0,–,–,–,Yes,Present,1,,
,EXTERNAL_LIGHTS,FrontWindshieldWiperMotorErrorSts,Yes,60,60,1,–,–,–,–,–,0,–,–,–,Yes,Not Active,0,,
